pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url,file_name
PR_kwDOK5M2ac5lTa-X,list fiche gene-genome,MERGED,2024-01-29T09:48:37Z,2024-01-29T09:48:44Z,2024-01-29T09:48:44Z,2024-01-29T09:48:44Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/30,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5ldgyc,Architecture vue url,MERGED,2024-01-30T14:41:39Z,2024-01-30T14:52:34Z,2024-01-30T14:52:34Z,2024-01-30T14:52:34Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/31,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5ljH90,Change of description name in gene and peptide,MERGED,2024-01-31T09:44:56Z,2024-01-31T09:45:04Z,2024-01-31T09:45:03Z,2024-01-31T09:45:03Z,emlinebruyere,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/32,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5ljJsI,descrption field,MERGED,2024-01-31T09:49:12Z,2024-01-31T09:49:18Z,2024-01-31T09:49:18Z,2024-01-31T09:49:18Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/33,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5ljJwH,Get main,CLOSED,2024-01-31T09:49:20Z,2024-01-31T09:54:33Z,2024-01-31T09:54:33Z,,emlinebruyere,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/34,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5l2GzW,Bd,MERGED,2024-02-02T15:29:04Z,2024-02-04T09:41:53Z,2024-02-04T09:41:53Z,2024-02-04T09:41:53Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/35,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5l8Qd5,Admin,MERGED,2024-02-04T09:43:25Z,2024-02-04T09:46:24Z,2024-02-04T09:46:24Z,2024-02-04T09:46:24Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/36,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5l8Wfe,essai debug config,MERGED,2024-02-04T10:29:38Z,2024-02-04T10:29:44Z,2024-02-04T10:29:44Z,2024-02-04T10:29:44Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/37,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mDlB4,User login/logout/signUp,MERGED,2024-02-05T18:00:29Z,2024-02-05T18:13:38Z,2024-02-05T18:13:38Z,2024-02-05T18:13:38Z,emlinebruyere,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/38,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mD0y8,Merge pull request #38 from anaellle/User,MERGED,2024-02-05T18:35:53Z,2024-02-05T18:36:16Z,2024-02-05T18:36:15Z,2024-02-05T18:36:15Z,emlinebruyere,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/39,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mIgDy,Role acces,MERGED,2024-02-06T11:47:10Z,2024-02-06T14:14:47Z,2024-02-06T14:14:46Z,2024-02-06T14:14:46Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/40,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mPfzY,Merge pull request #40 from anaellle/role,MERGED,2024-02-07T10:08:33Z,2024-02-07T10:08:41Z,2024-02-07T10:08:41Z,2024-02-07T10:08:41Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/41,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mPgNM,reader access,MERGED,2024-02-07T10:09:25Z,2024-02-07T10:11:41Z,2024-02-07T10:09:40Z,2024-02-07T10:09:40Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/42,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mS9Mx,Sign up / password reset / password change,MERGED,2024-02-07T18:55:47Z,2024-02-07T19:07:41Z,2024-02-07T18:55:58Z,2024-02-07T18:55:58Z,emlinebruyere,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/43,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mfybG,main to bd,MERGED,2024-02-09T15:59:33Z,2024-02-09T16:05:11Z,2024-02-09T16:05:01Z,2024-02-09T16:05:01Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/44,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mgKGN,upload files in BD,MERGED,2024-02-09T17:03:55Z,2024-02-09T17:04:13Z,2024-02-09T17:04:13Z,2024-02-09T17:04:13Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/45,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5miul_,get main,MERGED,2024-02-10T10:56:32Z,2024-02-10T10:56:39Z,2024-02-10T10:56:38Z,2024-02-10T10:56:38Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/46,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mjPsX,Genome,MERGED,2024-02-10T13:46:56Z,2024-02-10T13:47:05Z,2024-02-10T13:47:05Z,2024-02-10T13:47:05Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/47,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mj6Of,main to bd,MERGED,2024-02-10T18:42:43Z,2024-02-10T18:45:11Z,2024-02-10T18:45:04Z,2024-02-10T18:45:04Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/48,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mj7Ml,Bd,MERGED,2024-02-10T18:46:07Z,2024-02-10T18:46:29Z,2024-02-10T18:46:29Z,2024-02-10T18:46:29Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/49,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mnVKA,get data,MERGED,2024-02-12T09:40:39Z,2024-02-12T09:40:52Z,2024-02-12T09:40:52Z,2024-02-12T09:40:52Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/50,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mng-h,main to bd,MERGED,2024-02-12T10:09:50Z,2024-02-12T10:09:58Z,2024-02-12T10:09:58Z,2024-02-12T10:09:58Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/51,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5mniA6,bug fixed,MERGED,2024-02-12T10:11:19Z,2024-02-12T10:11:29Z,2024-02-12T10:11:29Z,2024-02-12T10:11:29Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/52,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m1uCg,get main,MERGED,2024-02-14T10:02:34Z,2024-02-14T10:02:42Z,2024-02-14T10:02:42Z,2024-02-14T10:02:42Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/53,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m2Idy,main to bd,MERGED,2024-02-14T11:04:53Z,2024-02-14T11:05:01Z,2024-02-14T11:05:01Z,2024-02-14T11:05:01Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/54,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m2Mqj,Bd add of atomic transcription,MERGED,2024-02-14T11:10:50Z,2024-02-14T11:11:05Z,2024-02-14T11:11:05Z,2024-02-14T11:11:05Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/55,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m5-UP,get main,MERGED,2024-02-14T21:04:30Z,2024-02-14T21:05:57Z,2024-02-14T21:05:57Z,2024-02-14T21:05:57Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/56,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m5-8-,Merge pull request #56 from anaellle/main,MERGED,2024-02-14T21:06:27Z,2024-02-14T21:06:33Z,2024-02-14T21:06:33Z,2024-02-14T21:06:33Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/57,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m6AvT,get main,MERGED,2024-02-14T21:12:48Z,2024-02-14T21:14:07Z,2024-02-14T21:14:07Z,2024-02-14T21:14:07Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/58,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m6Jjd,Merge pull request #58 from anaellle/main,MERGED,2024-02-14T21:44:15Z,2024-02-14T21:44:33Z,2024-02-14T21:44:32Z,2024-02-14T21:44:32Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/59,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m6M7x,assign all genes,MERGED,2024-02-14T21:57:42Z,2024-02-14T21:57:48Z,2024-02-14T21:57:48Z,2024-02-14T21:57:48Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/60,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m6NRE,download svg +assign all gene,MERGED,2024-02-14T21:59:01Z,2024-02-14T21:59:07Z,2024-02-14T21:59:06Z,2024-02-14T21:59:06Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/61,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m_EUX,main to bd,MERGED,2024-02-15T14:33:18Z,2024-02-15T14:37:52Z,2024-02-15T14:37:43Z,2024-02-15T14:37:43Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/62,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5m_HLL,Add documentation and indications to upload files,MERGED,2024-02-15T14:38:41Z,2024-02-15T14:39:00Z,2024-02-15T14:38:59Z,2024-02-15T14:38:59Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/63,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOIvfCOs5HYyxJ,Update Reader.py,MERGED,2023-01-14T18:05:43Z,2023-01-14T18:06:52Z,2023-01-14T18:06:52Z,2023-01-14T18:06:52Z,marzeeea,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/1,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5HaNFe,"Update activeFunctions.csv - lowCamelCase for ensemblHavana, etc",MERGED,2023-01-15T14:37:48Z,2023-01-15T20:12:28Z,2023-01-15T20:12:27Z,2023-01-15T20:12:27Z,marzeeea,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/2,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5HaO6q,update attributes/methods notation,MERGED,2023-01-15T14:55:06Z,2023-01-15T20:12:42Z,2023-01-15T20:12:42Z,2023-01-15T20:12:42Z,marzeeea,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/3,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5HaQlG,notation ,MERGED,2023-01-15T15:08:08Z,2023-01-15T20:12:56Z,2023-01-15T20:12:56Z,2023-01-15T20:12:56Z,marzeeea,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/4,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5HdD--,basic variable and return change,MERGED,2023-01-16T10:39:53Z,2023-01-16T10:42:00Z,2023-01-16T10:41:59Z,2023-01-16T10:41:59Z,marzeeea,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/5,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5HdzXL,Update Dataset.py,MERGED,2023-01-16T13:12:03Z,2023-01-16T13:12:44Z,2023-01-16T13:12:43Z,2023-01-16T13:12:43Z,alicechiozza,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/6,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5Hd2Qa,Update Reader.py,MERGED,2023-01-16T13:20:27Z,2023-01-16T13:25:32Z,2023-01-16T13:25:32Z,2023-01-16T13:25:32Z,alicechiozza,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/7,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5Hd3dB,Update Decorator.py,MERGED,2023-01-16T13:23:31Z,2023-01-16T13:25:52Z,2023-01-16T13:25:51Z,2023-01-16T13:25:51Z,alicechiozza,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/8,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5Hd4YT,Update Dataset.py,MERGED,2023-01-16T13:26:23Z,2023-01-16T13:35:26Z,2023-01-16T13:35:26Z,2023-01-16T13:35:26Z,alicechiozza,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/9,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOIvfCOs5Hd_i4,Update Dataset.py,MERGED,2023-01-16T13:51:32Z,2023-01-16T13:52:01Z,2023-01-16T13:52:01Z,2023-01-16T13:52:01Z,alicechiozza,https://github.com/annacormio/genomeAnnotation_Genomics_2023/pull/10,annacormio++genomeAnnotation_Genomics_2023.csv
PR_kwDOLZah0M5ofS8g,Update README.rst,MERGED,2024-03-02T18:18:45Z,2024-03-02T18:19:48Z,2024-03-02T18:19:06Z,2024-03-02T18:19:06Z,aosmanski,https://github.com/aosmanski/Genome_Cookbook/pull/1,aosmanski++Genome_Cookbook.csv
PR_kwDOEF4gGM5cEBfJ,Fix configure-shell-logins,MERGED,2023-10-06T00:52:30Z,2023-10-06T03:22:47Z,2023-10-06T03:22:47Z,2023-10-06T03:22:47Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/1,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5cUiIU,Apollo portal playbook,MERGED,2023-10-10T02:43:45Z,2023-10-17T02:12:23Z,2023-10-17T02:12:23Z,2023-10-17T02:12:23Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/2,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5dNuUL,Update vault_pass logic,MERGED,2023-10-19T03:20:27Z,2023-10-19T03:22:10Z,2023-10-19T03:22:09Z,2023-10-19T03:22:09Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/3,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5dNv1U,Write message to stderr and NULL pass to stdout,MERGED,2023-10-19T03:28:03Z,2023-10-19T03:32:40Z,2023-10-19T03:32:40Z,2023-10-19T03:32:40Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/4,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5gMC8c,Update newportalvms vault,MERGED,2023-11-23T03:24:32Z,2023-11-23T03:26:47Z,2023-11-23T03:26:46Z,2023-11-23T03:26:46Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/5,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5gQiaK,Portal deploy fixes,MERGED,2023-11-23T20:38:22Z,2023-11-23T22:37:25Z,2023-11-23T22:37:25Z,2023-11-23T22:37:25Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/6,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5genlk,Fix permissions in portal update.sh script,MERGED,2023-11-27T20:13:35Z,2023-11-27T22:07:40Z,2023-11-27T22:07:40Z,2023-11-27T22:07:39Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/7,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5hdc1o,Pip install deps in update.sh script,MERGED,2023-12-07T20:15:37Z,2023-12-07T22:08:36Z,2023-12-07T22:08:36Z,2023-12-07T22:08:36Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/8,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5jpStR,Apollo portal srv dir,MERGED,2024-01-10T05:41:55Z,2024-01-11T06:18:18Z,2024-01-11T06:18:18Z,2024-01-11T06:18:18Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/9,AU-Biocommons++genome-annotation.csv
PR_kwDOEF4gGM5j3Loa,Set dev-portal git branch to 'dev',MERGED,2024-01-11T21:55:24Z,2024-01-11T21:58:18Z,2024-01-11T21:58:18Z,2024-01-11T21:58:18Z,neoformit,https://github.com/AU-Biocommons/genome-annotation/pull/10,AU-Biocommons++genome-annotation.csv
MDExOlB1bGxSZXF1ZXN0MjgzNzI0MTA0,Upgrade,MERGED,2019-05-30T16:34:45Z,2019-05-30T16:35:16Z,2019-05-30T16:35:15Z,2019-05-30T16:35:15Z,bio-boris,https://github.com/bio-boris/ProkkaAnnotationMetaGenome/pull/1,bio-boris++ProkkaAnnotationMetaGenome.csv
MDExOlB1bGxSZXF1ZXN0MjgzNzgwMDEy,Upgrade,MERGED,2019-05-30T19:23:17Z,2019-05-30T19:23:29Z,2019-05-30T19:23:29Z,2019-05-30T19:23:29Z,bio-boris,https://github.com/bio-boris/ProkkaAnnotationMetaGenome/pull/2,bio-boris++ProkkaAnnotationMetaGenome.csv
